timestamp,ping_ms
2025-08-27T23:55:55.162566,1.11
2025-08-27T23:55:56.182617,1.69
2025-08-27T23:55:57.199652,1.39
2025-08-27T23:55:58.223338,1.39
2025-08-27T23:55:59.268672,6.44
2025-08-27T23:56:00.286010,2.94
2025-08-27T23:56:01.297336,1.68
2025-08-27T23:56:02.315037,1.83
2025-08-27T23:56:03.332809,2.05
2025-08-27T23:56:04.347635,1.76
2025-08-27T23:56:05.363009,2.27
2025-08-27T23:56:06.389236,2.19
2025-08-27T23:56:07.397094,1.09
2025-08-27T23:56:08.417810,1.78
2025-08-27T23:56:09.437538,2.6
2025-08-27T23:56:10.454197,1.54
2025-08-27T23:56:11.483138,2.52
2025-08-27T23:56:12.500576,2.1
2025-08-27T23:56:13.523084,1.98
2025-08-27T23:56:14.545428,1.92
2025-08-27T23:56:15.565675,1.94
2025-08-27T23:56:16.580415,1.64
2025-08-27T23:56:17.591363,1.97
2025-08-27T23:56:18.607005,1.38
2025-08-27T23:56:19.627742,1.67
2025-08-27T23:56:20.641061,2.02
2025-08-27T23:56:21.659607,2.12
2025-08-27T23:56:22.678704,1.3
2025-08-27T23:56:23.699458,2.92
2025-08-27T23:56:24.711697,1.87
2025-08-27T23:56:25.742447,3.08
2025-08-27T23:56:26.759422,1.67
2025-08-27T23:56:27.790901,5.15
2025-08-27T23:56:28.814654,2.72
2025-08-27T23:56:29.823571,1.75
2025-08-27T23:56:30.851529,2.54
2025-08-27T23:56:31.870366,1.49
2025-08-27T23:56:32.881537,1.7
2025-08-27T23:56:33.897311,2.62
2025-08-27T23:56:34.913417,1.84
2025-08-27T23:56:35.925503,1.09
2025-08-27T23:56:36.937816,1.91
2025-08-27T23:56:37.958469,2.31
2025-08-27T23:56:38.973207,3.83
2025-08-27T23:56:40.191743,44.11
2025-08-27T23:56:41.222247,1.73
2025-08-27T23:56:42.243903,3.7
2025-08-27T23:56:43.258340,1.78
2025-08-27T23:56:44.272325,2.28
2025-08-27T23:56:45.294561,1.97
2025-08-27T23:56:46.304233,2.06
2025-08-27T23:56:47.316204,1.67
2025-08-27T23:56:48.337050,1.88
2025-08-27T23:56:49.364710,2.44
2025-08-27T23:56:50.386726,3.11
2025-08-27T23:56:51.397895,1.16
2025-08-27T23:56:52.412064,1.47
2025-08-27T23:56:53.440759,1.55
2025-08-27T23:56:54.459798,1.58
2025-08-27T23:56:55.478100,1.68
2025-08-27T23:56:56.503858,2.32
2025-08-27T23:56:57.523226,1.49
2025-08-27T23:56:58.558514,2.48
2025-08-27T23:56:59.574009,2.45
2025-08-27T23:57:00.585271,1.14
2025-08-27T23:57:01.608362,1.58
2025-08-27T23:57:02.633685,1.43
2025-08-27T23:57:03.653351,1.27
2025-08-27T23:57:04.677225,3.36
2025-08-27T23:57:05.698928,2.7
2025-08-27T23:57:06.717573,1.95
2025-08-27T23:57:07.734058,1.16
2025-08-27T23:57:08.747084,1.26
2025-08-27T23:57:09.761480,1.21
2025-08-27T23:57:10.790488,2.87
2025-08-27T23:57:11.817754,2.18
2025-08-27T23:57:12.841849,2.62
2025-08-27T23:57:13.858984,1.27
2025-08-27T23:57:14.876770,2.47
2025-08-27T23:57:15.903906,1.82
2025-08-27T23:57:16.918655,1.76
2025-08-27T23:57:17.938613,1.33
2025-08-27T23:57:18.958418,1.51
2025-08-27T23:57:19.973620,2.26
2025-08-27T23:57:20.988696,1.72
2025-08-27T23:57:22.002412,1.51
2025-08-27T23:57:23.015359,1.24
2025-08-27T23:57:24.032077,2.02
2025-08-27T23:57:25.054131,2.06
2025-08-27T23:57:26.071897,1.89
2025-08-27T23:57:27.090450,2.06
2025-08-27T23:57:28.118756,1.72
2025-08-27T23:57:29.143110,2.41
2025-08-27T23:57:30.168934,3.93
2025-08-27T23:57:31.180702,1.58
2025-08-27T23:57:32.198534,2.06
2025-08-27T23:57:33.228740,1.78
2025-08-27T23:57:34.241929,1.82
2025-08-27T23:57:35.259664,1.26
2025-08-27T23:57:36.269414,1.77
